datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-02 17:10:00,-0.0001138557497153415,0.00019020647970068895,0.00042395336512990203,1,1,2,0,0,0,0,0,0,0
2024-01-02 17:15:00,-0.001039655428486598,-0.0005071208215357501,-0.0003178218608470073,0,0,2,0,0,0,0,0,0,1
2024-01-02 17:20:00,7.43383883436731e-05,-1.0570154112837352e-05,-0.00010596026490071646,1,1,0,0,0,0,0,0,0,0
2024-01-02 17:25:00,-9.911785112503832e-05,-7.399420731056038e-05,-0.0001589614518479329,0,0,1,0,0,0,0,0,0,0
2024-01-02 17:30:00,0.0006691118160191284,0.000507426396743913,0.00013247138618061513,0,0,0,0,0,0,0,0,0,0
2024-01-02 17:35:00,0.00026002971768192507,0.0005705591479649672,0.00044951260860360875,0,0,1,0,0,0,0,0,0,0
2024-01-02 17:40:00,-4.9513529571910506e-05,0.0,0.00015885202933468078,1,1,2,0,0,0,0,0,0,0
2024-01-02 17:45:00,-0.00143603456386636,-0.0009292698895435969,-0.00017206008867711662,0,0,2,0,0,0,0,0,0,0
2024-01-02 17:50:00,-0.0008926357550211099,-0.00042278828876437716,-0.0005030314262264641,0,0,1,0,0,0,0,0,0,0
2024-01-02 17:55:00,-0.0009306365554038963,-0.00044410607790897175,-9.084785950002475e-05,0,0,2,0,0,0,0,0,0,1
2024-01-02 18:00:00,-0.00026081124717444883,-0.0002750449592721791,-0.0005032979258827521,0,0,0,0,0,0,1,0,0,1
2024-01-02 18:05:00,-0.0005714285714286166,-0.0003026326927960134,-0.00011131430388812916,0,0,2,0,0,0,0,0,0,1
2024-01-02 18:10:00,0.0007718696397941444,0.0005091347884073867,0.0,0,1,0,0,0,0,0,0,0,1
2024-01-02 18:15:00,0.0003224203084056783,0.00015869153539347806,0.0002544866527052558,0,0,0,0,0,0,0,0,0,1
2024-01-02 18:20:00,0.0005214541120380898,0.00014956654262019849,-4.7701073274225794e-05,0,1,0,0,0,0,0,0,0,0
2024-01-02 18:25:00,-9.928021841639022e-05,-0.00016816854930827918,-0.00023853065118861145,0,0,0,0,0,0,0,0,0,0
2024-01-02 18:30:00,0.0003971603038275534,0.0003171412854906325,0.000371165725496398,0,0,0,0,0,0,0,0,0,0
2024-01-02 18:35:00,4.962656013493911e-05,0.00017090039975455022,0.00015903307888041315,0,0,1,0,0,0,0,0,0,0
2024-01-02 18:40:00,-0.00043423240118114034,-0.00026434885589815164,-0.00026500596263421953,0,0,1,0,0,0,0,0,0,0
2024-01-02 18:45:00,-0.00034778939006519194,-0.0001269196598553164,0.0001325416180681035,0,1,2,0,0,0,0,0,0,0
2024-01-02 18:50:00,-0.0010057489104387538,-0.0006769907760006625,-0.0005301243141516385,0,0,2,0,0,0,0,0,0,0
2024-01-02 18:55:00,-0.0006462999328843564,-0.000465948303236874,-0.00039780412125063586,0,0,2,0,0,0,0,0,0,0
2024-01-02 19:00:00,-0.0009949506255751493,-0.0005295151759049415,-0.00021224663058484804,0,0,2,0,0,0,1,0,0,1
